,股票名稱,進場日期,進場價格,出場日期,出場價格,120天最高價,120天最低價
3035,智原,20180919,67.8,,,0.005899705014749347,-0.5501474926253687
3037,欣興,20181228,19.9,,,0.17085427135678405,0.17085427135678405
3040,遠見,20180625,53.6,,,0.10261194029850745,-0.43470149253731344
3046,建碁,20181228,17.0,,,0.10588235294117651,0.10588235294117651
3048,益登,20180125,21.35,,,0.05152224824355962,-0.43793911007025765
3050,鈺德,20180611,14.35,,,0.041811846689895446,-0.45156794425087105
3052,夆典,20180904,10.1,,,0.004950495049505021,-0.15742574257425743
3054,立萬利,20181228,25.0,,,0.07200000000000002,0.07200000000000002
3055,蔚華科,20181228,26.55,,,0.015065913370998062,0.015065913370998062
3056,總太,20180621,24.15,,,0.0020703933747412305,-0.3519668737060041
3059,華晶科,20180813,37.9,,,0.002638522427440671,-0.46174142480211083
3089,億杰,20180711,19.6,,,0.020408163265306048,-0.46938775510204084
3090,日電貿,20181228,39.05,,,0.3751600512163894,0.3751600512163894
3114,好德,20181228,19.3,,,0.43782383419689114,0.43782383419689114
3115,寶島極,20181228,14.3,,,0.39860139860139854,0.39860139860139854
3128,昇銳,20180426,17.65,,,0.07365439093484424,-0.40793201133144474
3130,一零四,20180821,171.5,,,0.008746355685131196,-0.12244897959183673
3144,新揚科,20180809,32.1,,,0.010903426791277303,-0.40498442367601245
3164,景岳,20181005,28.9,,,0.0311418685121108,-0.1349480968858131
3167,大量,20180306,55.9,,,0.007155635062611782,-0.32021466905187834
3207,耀勝,20180619,13.5,,,0.0666666666666667,-0.3333333333333333
3217,優群,20180903,35.7,,,0.002801120448179112,-0.25490196078431376
3218,大學光,20180613,32.3,,,0.00464396284829739,-0.22910216718266252
3221,台嘉碩,20180702,32.1,,,0.029595015576323852,-0.5186915887850467
3224,三顧,20181228,56.8,,,0.056338028169014134,0.056338028169014134
3228,金麗科,20181218,25.0,,,0.007999999999999972,-0.03400000000000006
3236,千如,20180813,48.0,,,0.010416666666666666,-0.5791666666666667
3257,虹冠電,20180627,69.0,,,0.03478260869565226,-0.4159420289855073
3264,欣銓,20180119,42.6,,,0.021126760563380247,-0.4025821596244132
3265,台星科,20180920,31.25,,,0.017600000000000022,-0.31520000000000004
3268,海德威,20180703,16.95,,,0.02654867256637164,-0.407079646017699
3287,廣寰科,20181011,8.88,,,0.046171171171170984,-0.14301801801801806
